state,district,crop,predicted_yield,modal_price,expected_revenue,rank
Andhra Pradesh,Visakhapatnam,Turmeric,49.93910942105006,11000.0,549330.2036315507,1.0
Andhra Pradesh,Visakhapatnam,Turmeric,48.59250960065004,11000.0,534517.6056071505,2.0
Andhra Pradesh,Visakhapatnam,Turmeric,46.91540207355008,11000.0,516069.4228090508,3.0
Andhra Pradesh,Visakhapatnam,Turmeric,46.67018163050008,11000.0,513371.9979355009,4.0
Andhra Pradesh,Visakhapatnam,Turmeric,45.29317051409998,11000.0,498224.87565509975,5.0
Andhra Pradesh,Visakhapatnam,Turmeric,42.60461342480007,11000.0,468650.7476728008,6.0
Andhra Pradesh,Visakhapatnam,Turmeric,42.07697998805007,11000.0,462846.7798685508,7.0
Andhra Pradesh,Visakhapatnam,Turmeric,39.232454139550015,11000.0,431556.99553505017,8.0
Andhra Pradesh,Visakhapatnam,Turmeric,35.03830299229999,11000.0,385421.33291529986,9.0
Andhra Pradesh,Visakhapatnam,Turmeric,32.849837029849986,11000.0,361348.2073283499,10.0
Andhra Pradesh,Visakhapatnam,Turmeric,29.73828641379998,11000.0,327121.1505517998,11.0
Andhra Pradesh,Visakhapatnam,Turmeric,29.164592637050028,11000.0,320810.5190075503,12.0
Chattisgarh,Jashpur,Maize,55.15243032599997,2400.0,132365.83278239993,1.0
Chattisgarh,Jashpur,Maize,53.55716727350002,2400.0,128537.20145640006,2.0
Chattisgarh,Jashpur,Maize,47.95726294030007,2400.0,115097.43105672016,3.0
Chattisgarh,Jashpur,Maize,42.904292524649975,2400.0,102970.30205915993,4.0
Chattisgarh,Jashpur,Maize,31.90327881525005,2400.0,76567.86915660012,5.0
Chattisgarh,Jashpur,Maize,31.8898728053,2400.0,76535.69473272,6.0
Chattisgarh,Jashpur,Maize,30.010162386350007,2400.0,72024.38972724002,7.0
Chattisgarh,Jashpur,Maize,29.52311212339993,2400.0,70855.46909615982,8.0
Chattisgarh,Jashpur,Maize,28.4897017438,2400.0,68375.28418512,9.0
Chattisgarh,Jashpur,Maize,28.433521692100065,2400.0,68240.45206104015,10.0
Chattisgarh,Mahasamund,Groundnut,52.69913045700003,9800.0,516451.47847860033,1.0
Chattisgarh,Mahasamund,Groundnut,45.641257308649976,9800.0,447284.3216247698,2.0
Chattisgarh,Mahasamund,Groundnut,45.432864271499966,9800.0,445242.06986069964,3.0
Chattisgarh,Mahasamund,Groundnut,45.055252956749946,9800.0,441541.47897614946,4.0
Chattisgarh,Mahasamund,Groundnut,41.67568645859998,9800.0,408421.72729427984,5.0
Chattisgarh,Mahasamund,Groundnut,37.70547306270009,9800.0,369513.6360144608,6.0
Chattisgarh,Mahasamund,Groundnut,36.09143116525004,9800.0,353696.0254194504,7.0
Chattisgarh,Mahasamund,Groundnut,35.21112055024996,9800.0,345068.9813924496,8.0
Chattisgarh,Mahasamund,Groundnut,34.41275873429996,9800.0,337245.0355961396,9.0
Chattisgarh,Mahasamund,Groundnut,32.893132705449965,9800.0,322352.7005134096,10.0
Gujarat,Ahmedabad,Cotton,51.65820853569998,7600.0,392602.3848713198,1.0
Gujarat,Ahmedabad,Cotton,51.65820853569998,7025.0,362898.91496329237,2.0
Gujarat,Ahmedabad,Cotton,42.06190474549993,7600.0,319670.4760657995,3.0
Gujarat,Ahmedabad,Cotton,41.94359801064998,7600.0,318771.3448809398,4.0
Gujarat,Ahmedabad,Cotton,40.49021958019996,7600.0,307725.66880951973,5.0
Gujarat,Ahmedabad,Cotton,39.2743935631001,7600.0,298485.39107956074,6.0
Gujarat,Ahmedabad,Cotton,42.06190474549993,7025.0,295484.880837137,7.0
Gujarat,Ahmedabad,Cotton,41.94359801064998,7025.0,294653.7760248161,8.0
Gujarat,Ahmedabad,Cotton,40.49021958019996,7025.0,284443.79255090473,9.0
Gujarat,Ahmedabad,Cotton,39.2743935631001,7025.0,275902.6147807782,10.0
Gujarat,Ahmedabad,Cotton,35.56265013185003,7600.0,270276.1410020602,11.0
Gujarat,Ahmedabad,Cotton,34.63137581154997,7600.0,263198.4561677798,12.0
Gujarat,Ahmedabad,Cotton,33.94636520310005,7600.0,257992.3755435604,13.0
Gujarat,Ahmedabad,Cotton,35.56265013185003,7025.0,249827.61717624645,14.0
Gujarat,Ahmedabad,Cotton,32.2597639288,7600.0,245174.20585887998,15.0
Gujarat,Ahmedabad,Cotton,34.63137581154997,7025.0,243285.41507613857,16.0
Gujarat,Ahmedabad,Cotton,31.946835308350003,7600.0,242795.94834346,17.0
Gujarat,Ahmedabad,Cotton,33.94636520310005,7025.0,238473.21555177786,18.0
Gujarat,Ahmedabad,Cotton,30.82255617299993,7600.0,234251.42691479946,19.0
Gujarat,Ahmedabad,Cotton,29.91913713979999,7600.0,227385.44226247992,20.0
Gujarat,Ahmedabad,Cotton,32.2597639288,7025.0,226624.84159981998,21.0
Gujarat,Ahmedabad,Cotton,29.57105034759997,7600.0,224739.9826417598,22.0
Gujarat,Ahmedabad,Cotton,31.946835308350003,7025.0,224426.51804115876,23.0
Gujarat,Ahmedabad,Cotton,30.82255617299993,7025.0,216528.4571153245,24.0
Gujarat,Ahmedabad,Cotton,29.91913713979999,7025.0,210181.93840709492,25.0
Gujarat,Ahmedabad,Cotton,27.465524292949997,7600.0,208737.98462642,26.0
Gujarat,Ahmedabad,Cotton,29.57105034759997,7025.0,207736.6286918898,27.0
Gujarat,Ahmedabad,Cotton,27.465524292949997,7025.0,192945.30815797372,28.0
Gujarat,Ahmedabad,Wheat,55.78741617099996,2625.0,146441.9674488749,29.0
Gujarat,Ahmedabad,Wheat,53.21596605655,2625.0,139691.91089844375,30.0
Gujarat,Ahmedabad,Wheat,49.480227429450025,2625.0,129885.59700230631,31.0
Gujarat,Ahmedabad,Wheat,47.845789617850016,2625.0,125595.1977468563,32.0
